文本,回忆,回忆次数,覆盖率,准确率,遗漏,错字,总字数
"对一般的社会调查，前一个问题更大；对敏感问题，后一个问题更大。 概括地说，前一个问题是：如何得到一个科学的样本。", "对一般的社会调查 前一个问题更大 对敏感问题 后一个问题更大 概括的来说 前一个问题是如何获得科学的样本", 1, 0.938, 0.957, "地 到", "来 获", 48
"整个镜头都是男人的臀部，关师傅舞着大刀片（木头的）劈劈啪啪在上面打个不休，被打者还高呼：“打得好！ 师傅保重！", "整个镜头都是男人的臀部 关师傅舞大刀噼噼啪啪在上面打着 被打的人还大声呼打得好 师傅保重", 1, 0.826, 0.927, "片 木 劈 劈 不 休 者 高", "噼 噼 声", 46
"由此可以得到这样的结论：这种故事发生的场景，总是一个封闭的地方，人们在那里浪费着生命；这种故事也就带点幽囚恐惧症的意味。", "由此可以得出这样的结论 这种故事发生的场景 总是在一个封闭的地方 人们在这里浪费生命 有点幽囚恐惧症的味道", 1, 0.836, 0.939, "到 那 着 也 就 带 意", "出 有 道", 55
"这问题很明白，我就不多说了。 越不好干的工作，就越是要干，应该有这种精神。 我接的这位师傅就是这样。", " 这个问题很明白 我就不多说了 越是难干的工作 就越是要有干 应该有这种精神 我接的这位老师傅就是这样", 1, 1.0, 0.933, "好", "个 难 老", 42
"王二１９９３年四十一岁，在北京一所大学里做研究工作。 研究方向是中国古代数学史。 他是作者的又一位同名兄弟。", "王二１９９３年四十一岁，在北京一所大学里做研究工作。 研究方向是中国古代数学史。 他是作者的又一位同名兄弟。", 1, 1.0, 1.0, "", "", 44
"人在年轻时，可能要做些服务性的工作，糊口或攒学费，等待进取的时机，在公共场所演奏也是一种。 这不要紧只要无损于尊严就可。", "这样子可以吗", 1, 0.038, 0.333, "人 在 年 轻 时 能 要 做 些 服 务 性 的 工 作 糊 口 或 攒 学 费 等 待 进 取 的 时 机 在 公 共 场 所 演 奏 也 是 一 种 不 要 紧 只 要 无 损 于 尊 严 就", "样 子 以 吗", 53
"于是白天炒菜，晚上看店，一干十几年，别说逛街去，连日头也很少看见。 这故事讲到这里，基本上算明白了。", "于是白天炒菜 晚上看店 别说逛街去 连日头都很少看见 于是故事讲到这里 基本上算明白了", 1, 0.881, 0.974, "一 干 十 几 年 也", "都", 42
"只有建设的快乐才能无穷无尽，毁灭则有它的极限。 夸大狂和自恋都不能带来幸福，与此相反，它正是不幸的源泉。", " 事实看见", 1, 0.0, 0.0, "只 有 建 设 的 快 乐 才 能 无 穷 无 尽 毁 灭 则 有 它 的 极 限 夸 大 狂 和 自 恋 都 不 能 带 来 幸 福 与 此 相 反 它 正 是 不 幸 的 源 泉", "事 实 看 见", 46
"文学虽然有各种流派，各种流派之间又有很大的区别，但就作品而言，最大的区别却在于，有些作品写得好，有些作品写得不好。", "文学有很多流派 各种流派又有很大区别 但就按作品而言 作品之间主要的区别是 有些作品写得好 有些作品写的不好", 1, 0.863, 0.898, "虽 然 最 却 在 于", "多 按 主 要 是", 51
"文学虽然有各种流派，各种流派之间又有很大的区别，但就作品而言，最大的区别却在于，有些作品写得好，有些作品写得不好。", "文学虽然有各种流派 各种流派有很大的区别 但就作品而言 最大的区别是 有些作品写得好 有些作品写的不好", 2, 0.882, 0.978, "之 间 又 却 在 于", "是", 51
"假如我做生意，或者搞科技，没有网络会有些困难。 但我何必为商人、工程师们操心？ 在信息高速网上，海量的信息在流动。", "假如我做生意 高科技 没有网络会有点困难 但我为什么要为商人 工程师们考虑 在高速信息网上 海量的信息在流动", 1, 0.875, 0.875, "或 者 搞 些 何 必 操 心", "点 什 么 要 考 虑", 48
"假如我做生意，或者搞科技，没有网络会有些困难。 但我何必为商人、工程师们操心？ 在信息高速网上，海量的信息在流动。", "假如我做生意 或者高科技 没有网络有些困难 但我何必为商人 工程师们考虑 在高速网络上 海量的信息在流动", 2, 0.917, 0.957, "搞 会 操 心", "考 虑", 48
"转眼之间四十多年就过去了，真让人不敢相信。 在新年来临之际，本来该讲点凑趣的话，但我偏偏想起自己见过的种种古怪事来。", "转眼之间四十多年过去了 谁都不敢相信 本来我应该讲一些凑趣的事情 我却想起来以前的事情来", 1, 0.596, 0.756, "就 真 让 人 在 新 临 际 点 话 但 偏 偏 自 己 见 种 种 古 怪", "谁 都 应 一 些 情 却 以 前 情", 52
"转眼之间四十多年就过去了，真让人不敢相信。 在新年来临之际，本来该讲点凑趣的话，但我偏偏想起自己见过的种种古怪事来。", "转眼之前四十多年过去了 谁也不敢相信 在春节来临之际 我本来该讲些凑趣的话 我却想起那些奇巧古怪的往事来", 2, 0.692, 0.75, "间 就 真 让 人 新 点 但 偏 偏 自 己 见 种 种", "前 谁 也 春 节 些 却 那 些 奇 巧 往", 52
"转眼之间四十多年就过去了，真让人不敢相信。 在新年来临之际，本来该讲点凑趣的话，但我偏偏想起自己见过的种种古怪事来。", "转眼间四十多年过去了 我也无法相信 在新年来临之际 本该讲一些凑趣的话 但我偏偏想起自己见过的种种古怪事来", 3, 0.846, 0.898, "就 真 让 人 不 敢 点", "也 无 法 一 些", 52
"转眼之间四十多年就过去了，真让人不敢相信。 在新年来临之际，本来该讲点凑趣的话，但我偏偏想起自己见过的种种古怪事来。", "转眼之间四十多年过去了 我那也不敢相信 新年来临之际 我本该讲一些凑趣的话 但我偏偏想起种种古怪事来", 4, 0.808, 0.913, "就 真 让 人 在 点 自 己 见", "那 也 一 些", 52
"转眼之间四十多年就过去了，真让人不敢相信。 在新年来临之际，本来该讲点凑趣的话，但我偏偏想起自己见过的种种古怪事来。", "转眼之间四十多年过去了 真让人不敢相信 新年来临之际 我本来该讲些凑趣的话 但我偏偏却想起来我见过的种种古怪事来", 5, 0.962, 0.962, "就 在 点 自 己", "些 却", 52
"如果说贫穷是种生活方式，拣垃圾和挑大粪只是这种方式的契机。 生活方式像一个曲折漫长的故事，或者像一座使人迷失的迷宫。", "如果说贫穷是一种生活方式 捡垃圾和挑大粪只是这两种方式的不同形式  ", 1, 0.491, 0.839, "拣 契 机 像 个 曲 折 漫 长 故 事 或 者 像 座 使 人 迷 失 迷 宫", "捡 两 不 同 形", 53
"如果说贫穷是种生活方式，拣垃圾和挑大粪只是这种方式的契机。 生活方式像一个曲折漫长的故事，或者像一座使人迷失的迷宫。", "如果说贫穷是种生活方式 那么捡垃圾和挑大粪只是这两种方式的契机 生活像一个漫长曲折的故事 又像一个令人迷惘的迷宫", 2, 0.868, 0.868, "拣 或 者 座 使 失", "那 么 捡 两 又 令 惘", 53
"如果说贫穷是种生活方式，拣垃圾和挑大粪只是这种方式的契机。 生活方式像一个曲折漫长的故事，或者像一座使人迷失的迷宫。", "如果说贫穷是一种生活方式 那么挑大粪和捡垃圾就是不同的契机 生活方式像一个漫长曲折的故事 又像是一个使人迷失的迷宫", 3, 0.887, 0.87, "拣 只 这 或 者 座", "那 么 捡 就 不 同 又", 53
"这个故事的背景也可以放在现代中国。 在电影，韭菜，旧报纸看来，国产电影又要进入一个重视宣传教育的时期。", "这个故事的背景也可以放在现代的中国 在电影韭菜看来 这种方式也可以进入电影教材", 1, 0.733, 0.892, "旧 报 纸 产 又 要 一 重 视 宣 传 育 时 期", "种 方 式 材", 45
"这个故事的背景也可以放在现代中国。 在电影，韭菜，旧报纸看来，国产电影又要进入一个重视宣传教育的时期。", "这个故事的背景发生在旧时代的中国 电影 韭菜 图书完全可以 拍宣传教育的题材", 2, 0.556, 0.735, "也 放 现 报 纸 看 来 产 又 要 进 入 一 重 视 期", "发 生 图 书 完 全 拍 题 材", 45
"这个故事的背景也可以放在现代中国。 在电影，韭菜，旧报纸看来，国产电影又要进入一个重视宣传教育的时期。", "这个故事的背景也可以发生在现代的中国 电影 韭菜 就报刊看来 国产电影又要进入一个重视宣传教育的时期", 3, 0.933, 0.913, "放 旧 纸", "发 生 就 刊", 45
"打个比方来说，犁田的水牛在拔足狂奔时，总要把尾巴像面小旗子一样扬起来，从人的角度来看有点不雅，但它只会这种跑法。", "打个比方来说 犁田的小牛跑起来的时候总会把尾巴甩起来 从人的角度看可能有点不雅 但他只会这种跑法", 1, 0.784, 0.889, "水 在 拔 足 狂 奔 要 像 面 旗 子 一 样 扬 它", "候 甩 可 能 他", 51
"打个比方来说，犁田的水牛在拔足狂奔时，总要把尾巴像面小旗子一样扬起来，从人的角度来看有点不雅，但它只会这种跑法。", "打个比方来说 犁田的小牛在奔跑的时候总会把自己的小尾巴像小旗子一样扬起来 这在人看起来可能有点不雅 但是他只会这种跑法", 2, 0.961, 0.875, "水 拔 足 狂 要 面 从 角 度 它", "候 自 己 可 能 是 他", 51
"在村里，三姑六婆就是土地神，无所不知，又无所不传。 所以一个自然村简直就是个人信息的超导体，毫无秘密可言。", "在村里 三姑六婆就是超导体 超传体 在自然村里毫无秘密可言", 1, 0.565, 1.0, "土 地 神 所 不 知 又 所 不 所 以 一 个 简 直 个 人 信 息 的", "", 46
"在村里，三姑六婆就是土地神，无所不知，又无所不传。 所以一个自然村简直就是个人信息的超导体，毫无秘密可言。", "在村里 三姑六婆就是土地神 无所不知 又无所不传 一个自然村就是个人信息的超导体 毫无秘密可言", 2, 0.913, 1.0, "以 简 直", "", 46
"前辈作家中，有一部分用方言来写作，或者在行文中带出方言的影响来，我叫它方言体。 其中以河北和山西两地的方言最为常见。", "前辈作家中 有一部分用方言来写作 我把他成为方言题 这其中以山西和河北的方言最为突出", 1, 0.635, 0.846, "或 者 在 行 文 带 影 响 叫 它 体 两 地 常 见", "把 他 成 题 这 突", 52
"前辈作家中，有一部分用方言来写作，或者在行文中带出方言的影响来，我叫它方言体。 其中以河北和山西两地的方言最为常见。", "前辈作家中有一部分用方言来写作 或者在行文中带出方言的影响来 我把它成为方言体 这其中尤其以河北和山西最为突出", 2, 0.904, 0.904, "叫 两 地 常 见", "把 成 这 尤 突", 52
"它们属于严肃文学。 我以为自己可以写些严肃的东西，中国也可以有严肃文学。 这种看法未必对，但总该试试。", "它属于严肃文学 我以为我属于严肃文学 中国也应该有这种东西 我应该试试", 1, 0.682, 0.938, "们 自 己 可 写 些 的 可 看 法 未 必 对 但 总", "应 应", 44
"它们属于严肃文学。 我以为自己可以写些严肃的东西，中国也可以有严肃文学。 这种看法未必对，但总该试试。", "他们属于严肃文学 我以为我也是严肃文学 中国也应该有这种文学 这种看法不一定对 但总可以试试", 2, 0.818, 0.857, "它 自 己 写 些 的 东 西 未 必", "他 是 应 不 一 定", 44
"它们属于严肃文学。 我以为自己可以写些严肃的东西，中国也可以有严肃文学。 这种看法未必对，但总该试试。", "他们属于严肃文学 我觉得我写的也是严肃的东西 中国也应该有严肃文学 这种看法未必对 但总该试试", 3, 0.864, 0.884, "它 以 为 自 己 可 以 些 可 以", "他 觉 得 是 应", 44
"它们属于严肃文学。 我以为自己可以写些严肃的东西，中国也可以有严肃文学。 这种看法未必对，但总该试试。", "它们属于严肃文学 我以为我可以写严肃的东西 中国也可以有严肃文学 这种看法未必对 但总可以试试", 4, 0.977, 1.0, "自 己 些 该", "", 44
"但他又问：你们队的韭菜是不是用大粪来浇？ 我说：大概也不会用别的东西来浇，然后才想了起来，这大概是队部的旧报纸。", "然后他又问你们的韭菜不是用大粪来浇 然后我想了一下也没有用别的东西来浇 这是在部队里面的旧报纸", 1, 0.776, 0.844, "但 说 概 会 才 起 概", "一 下 没 有 在 里 面", 49
"但他又问：你们队的韭菜是不是用大粪来浇？ 我说：大概也不会用别的东西来浇，然后才想了起来，这大概是队部的旧报纸。", "然后他又问你们的韭菜不是用大粪来浇 我说大概也不会用别的什么来浇  然后才想起来这大概是在旧部队的报纸", 2, 0.918, 0.938, "但 东 西 了", "什 么 在", 49
"你若以为这种谈法层次很低，那也不见得。 假如现在形势不大好，我们也不会改变对这个国家的感情。 既然如此，就不急着提起。", "你若以为这种谈法层次很低 倒也不见得 倘若现在国家的形势不太好 我们对国家的感情也没有变化", 1, 0.706, 0.857, "那 假 如 大 会 改 个 既 然 如 此 就 急 着 提 起", "倒 倘 太 没 有 化", 51
"你若以为这种谈法层次很低，那也不见得。 假如现在形势不大好，我们也不会改变对这个国家的感情。 既然如此，就不急着提起。", "你若以为这段谈话的层次很低 那你就错了 即使现在的形势不太好 也不会影响我们对国家的感情 即便如此 便不急着提", 2, 0.745, 0.76, "种 法 见 得 假 大 改 变 个 既 然 起", "段 话 错 了 即 使 太 影 响 即 便 便", 51
"你若以为这种谈法层次很低，那也不见得。 假如现在形势不大好，我们也不会改变对这个国家的感情。 既然如此，就不急着提起。", "你若以为这种谈法的层次很低 倒也不见得 假如现在社会的形势不大好 也不会影响我们对国家的感情 既然如此 便不急着提", 3, 0.922, 0.904, "那 改 变 个 就 起", "倒 社 影 响 便", 51
"转眼之间，我们从国外回来已经快八年了。 对于当初回国的决定，我们从没有后悔过。 这丝毫不说明我们比别人爱国。", "转眼间我们已经从国外回来八年了 但丝毫不影响我们的爱国", 1, 0.489, 0.885, "之 快 对 于 当 初 决 定 没 有 后 悔 过 这 说 明 比 别 人", "但 影 响", 47
"转眼之间，我们从国外回来已经快八年了。 对于当初回国的决定，我们从没有后悔过。 这丝毫不说明我们比别人爱国。", "转眼间我们回国已经八年了 我们从来没有为这个决定后悔过 但也不能丝毫说明我们比较爱国", 2, 0.723, 0.85, "之 外 快 对 于 当 初 的 别 人", "为 个 但 也 能 较", 47
"转眼之间，我们从国外回来已经快八年了。 对于当初回国的决定，我们从没有后悔过。 这丝毫不说明我们比别人爱国。", "转眼间 我们从国外回来已经八年了 对于当初回国的决定 我从来没有后悔过 但这丝毫不能说明我们比别人更爱国", 3, 0.957, 0.938, "之 快", "但 能 更", 47
"我讨厌这个说法，因为好像这世界上没有了音乐，就说不出小说该像什么了；但也不能不承认，这种说法有些道理。", "我讨厌这种说法 因为这个世界上没有音乐就不能说小说像什么了 但不得不说这个说法也有它的道理", 1, 0.87, 0.93, "好 出 该 承 认 些", "得 它 的", 46
"我讨厌这个说法，因为好像这世界上没有了音乐，就说不出小说该像什么了；但也不能不承认，这种说法有些道理。", "我讨厌这种说法 因为如果这个世界上没有音乐 就好像不能说小说像什么了 但不得不承认这种说法有它的道理", 2, 0.913, 0.894, "出 该 也 些", "如 果 得 它 的", 46
"整个镜头都是男人的臀部，关师傅舞着大刀片（木头的）劈劈啪啪在上面打个不休，被打者还高呼：“打得好！ 师傅保重！", " 整个镜头都是男人的臀部 关师傅用大刀打的噼噼啪啪作响 那个人还大喊这说 师傅保重 打得好", 1, 0.674, 0.775, "舞 着 片 木 劈 劈 在 上 面 不 休 被 者 高 呼", "用 噼 噼 作 响 那 喊 这 说", 46
"整个镜头都是男人的臀部，关师傅舞着大刀片（木头的）劈劈啪啪在上面打个不休，被打者还高呼：“打得好！ 师傅保重！", "整个镜头都是男人的臀部 关师傅舞着大刀（木头刀）在上面打的噼噼啪啪 被打的人还大喊 关师傅保重身体 打得好", 2, 0.913, 0.894, "片 劈 劈 不 休 者 高 呼", "噼 噼 喊 身 体", 46
"当年孟夫子说：杨朱利己，是无君也；墨子兼爱，是无父也；无君无父，是禽兽也。 这种说法把某些人视为非人动物，实在有失公允。", " 孟子当年说 杨朱利己 是无君也 墨子兼爱 是无父也 无君无父 是禽兽也 这种说法把人看成禽兽 有失公允 ", 1, 0.82, 0.953, "夫 某 些 视 为 非 动 物 实 在", "看 成", 50
"当年孟夫子说：杨朱利己，是无君也；墨子兼爱，是无父也；无君无父，是禽兽也。 这种说法把某些人视为非人动物，实在有失公允。", "孟夫子当年说 杨朱利己 是无君也 墨子兼爱 是无父也 无君无父 是禽兽也 把人视为非人的动物 这种做法实在是有失公允", 2, 0.96, 0.96, "某 些", "的 做", 50
"然后，那位青年的演出大获成功。 好人在后台看他谢幕，忽然说了一句：新的明星诞生了。 然后就开车走了。", "然后那位青年的演出大获成功 好人在幕后说了一句 新的明显诞生了 然后开车走了", 1, 0.81, 0.971, "台 看 他 谢 忽 星 就", "显", 42
"然后，那位青年的演出大获成功。 好人在后台看他谢幕，忽然说了一句：新的明星诞生了。 然后就开车走了。", "然后 那位青年的演出大获成功 好人在后台看他谢幕 忽然说了一句 新的明星诞生了 然后就开车走了", 2, 1.0, 1.0, "", "", 42
"故事开始时见到的那伙人，就是因为被人称为驴鸣镇人，而去拼命。 如前所述，我觉得自己住在驴鸣楼里，但不想为此和人拼命。", "故事开始时见到的那伙人，就是因为被人称为驴鸣镇人，而去拼命。 如前所述，我觉得自己住在驴鸣楼里，但不想为此和人拼命。", 1, 1.0, 1.0, "", "", 51
"好在哲学领域里，已经有人在反对无聊的乌托邦，反对那些以无趣推及有趣，以愚蠢推及智慧的人，比方说，波普先生。", "好在在哲学里 已经有人在反对乌托邦 反对那些以无趣推有趣的人 代表人物有波普", 1, 0.681, 0.914, "领 域 聊 及 愚 蠢 及 智 慧 比 方 说 先 生", "代 表 物", 47
"看来起初的一些作者还怀有反讽的动机，一面捧腹大笑，一面胡写乱写；搞到后来就开始变得没滋没味，把性都写到了荒诞不经的程度。", "看来起初的作者还有反讽的动机 一面写一面捧腹大笑 后来都已经觉得索然无味 把性写到了荒诞不经的地步", 1, 0.709, 0.848, "些 怀 胡 乱 搞 就 开 始 变 没 滋 没 程 度", "已 觉 索 然 无 地 步", 55
"看来起初的一些作者还怀有反讽的动机，一面捧腹大笑，一面胡写乱写；搞到后来就开始变得没滋没味，把性都写到了荒诞不经的程度。", "看来起初的作者还怀有反讽的动机 一面捧腹大笑 一面胡写乱写 到后来就觉得无滋无味 把性写的荒诞不经", 2, 0.764, 0.933, "些 搞 开 始 变 没 没 都 了 程 度", "觉 无 无", 55
"看来起初的一些作者还怀有反讽的动机，一面捧腹大笑，一面胡写乱写；搞到后来就开始变得没滋没味，把性都写到了荒诞不经的程度。", "看来起初的一些作者还怀有一些反讽的动机 一面捧腹大笑 一面胡写乱写 到后来都已经觉得无滋无味 把性写到了荒诞不经的程度", 3, 0.927, 0.927, "搞 就 开 始 变 没 没", "已 觉 无 无", 55
"昆德拉则说，看小说的人要想开心，能够欣赏虚构，并已能宽容虚构的东西，他说这是主要之点。 我倒不存这种奢望。", "昆德拉说看小说的人想要开心 能够欣赏虚构 这是主要之点 我倒不存在这种奢望", 1, 0.717, 0.971, "则 并 已 宽 容 东 西 他", "在", 46
"昆德拉则说，看小说的人要想开心，能够欣赏虚构，并已能宽容虚构的东西，他说这是主要之点。 我倒不存这种奢望。", "昆德拉则说 看小说的人想要开心 能够欣赏虚构 能够宽容虚构的东西 这是主要之点 我倒觉得这是一种奢望", 2, 0.913, 0.933, "并 已 他 不 存", "觉 得 一", 46
"它会导致肌肉疼痛，还要冒摔出脑子的危险，所以一般人尽量避免爬山。 用热力学的角度来看，这是个减熵现象，极为少见。", "它会导致肌肉疼痛 还会冒摔出脑子的风险 所以一般人尽量避免爬山 从热力学上看这是一个减熵的现象 极为少见", 1, 0.918, 0.938, "要 危 用 角 度 来", "风 从 上", 49
"大家都知道，有些计算机病毒是择日发作的，其中有一种就叫做“黑色星期五”。 这一天真是不幸，电脑闹病毒，电视也闹病毒。", "中扥僧", 1, 0.02, 0.333, "b'\xe5\xa4\xa7 \xe5\xae\xb6 \xe9\x83\xbd \xe7\x9f\xa5 \xe9\x81\x93 \xe6\x9c\x89 \xe4\xba\x9b \xe8\xae\xa1 \xe7\xae\x97 \xe6\x9c\xba \xe7\x97\x85 \xe6\xaf\x92 \xe6\x98\xaf \xe6\x8b\xa9 \xe6\x97\xa5 \xe5\x8f\x91 \xe4\xbd\x9c \xe7\x9a\x84 \xe5\x85\xb6 \xe6\x9c\x89 \xe4\xb8\x80 \xe7\xa7\x8d \xe5\xb0\xb1 \xe5\x8f\xab \xe5\x81\x9a \xe9\xbb\x91 \xe8\x89\xb2 \xe6\x98\x9f \xe6\x9c\x9f \xe4\xba\x94 \xe8\xbf\x99 \xe4\xb8\x80 \xe5\xa4\xa9 \xe7\x9c\x9f \xe6\x98\xaf \xe4\xb8\x8d \xe5\xb9\xb8 \xe7\x94\xb5 \xe8\x84\x91 \xe9\x97\xb9 \xe7\x97\x85 \xe6\xaf\x92 \xe7\x94\xb5 \xe8\xa7\x86 \xe4\xb9\x9f \xe9\x97\xb9 \xe7\x97\x85 \xe6\xaf\x92'", "b'\xe6\x89\xa5 \xe5\x83\xa7'", 49
"有一阵子业主是泰国人，缅甸人掌勺，牌子还是竹园，但是炒菜不放油，只放水。 在美国我知道这种地方，绝不进去。", ", encoding="utf-8"好赛放松", 1, 0.022, 0.25, "有 一 阵 子 业 主 是 泰 国 人 缅 甸 人 掌 勺 牌 子 还 是 竹 园 但 是 炒 菜 不 油 只 水 在 美 国 我 知 道 这 种 地 方 绝 不 进 去", "好 赛 松", 45
"作为一种制度，它确有极不妥之处。 首先，它总是一种极端国家主义的制度，压制个人；其次，它僵化没有生命力。", "作为一种制度，它确有极不妥之处。 首先，它总是一种极端国家主义的制度，压制个人；其次，它僵化没有生命力。", 1, 1.0, 1.0, "", "", 44
"作为一种制度，它确有极不妥之处。 首先，它总是一种极端国家主义的制度，压制个人；其次，它僵化没有生命力。", "作为一种制度，它确有极不妥之处。 首先，它总是一种极端国家主义的制度，压制个人；其次，它僵化没有生命力。", 2, 1.0, 1.0, "", "", 44
"绿卡包在我身上。 于是我老乡拿了个旅游签证就去了。 到纽约下了飞机，连时差还没转过来哪，就被按到灶上炒上菜了。", "绿卡包在我身上 到了纽约 连时差都没有倒过来 就被按在灶台上炒菜了", 1, 0.542, 0.867, "于 是 老 乡 拿 个 旅 游 签 证 去 下 飞 机 还 转 哪", "都 有 倒 台", 48
"绿卡包在我身上。 于是我老乡拿了个旅游签证就去了。 到纽约下了飞机，连时差还没转过来哪，就被按到灶上炒上菜了。", "绿卡包在我身上 于是我老乡就拿了个旅游签证就去了 刚在纽约下了飞机 连时差都没倒过来呢 就被按在灶台上炒菜了", 2, 0.938, 0.9, "到 还 转 哪 到", "刚 都 倒 呢 台", 48
"有年冬天外面下雪，我怕冷，头上戴了羊剪绒的帽子，身穿军用雨衣式的短大衣，蹬上大皮靴跑出去。 路上的人都用敬畏的眼光看我。", "有年冬天外面下雪 我戴了羊剪绒的帽子 穿了绿色的军大衣 脚蹬一双靴子 街上的人都用敬畏的眼光看着我", 1, 0.717, 0.844, "怕 冷 头 身 雨 式 短 皮 跑 出 去 路", "绿 色 脚 一 双 街 着", 53
"有年冬天外面下雪，我怕冷，头上戴了羊剪绒的帽子，身穿军用雨衣式的短大衣，蹬上大皮靴跑出去。 路上的人都用敬畏的眼光看我。", "有年冬天我怕冷 头上戴着羊剪绒的帽子 身上披着军装雨衣 脚上蹬着大皮靴 街上的人都用敬畏的眼光看着我", 2, 0.717, 0.826, "外 面 下 雪 了 穿 式 短 跑 出 去 路", "着 披 着 装 脚 着 街 着", 53
"虽然如此，我们仍不揣冒昧，不惧嘲弄，要对公众陈述社会学和人类学的立场，以及根据这样的立场，对同性恋的研究为什么必不可少。", "虽然如此 我们仍然不揣冒昧 不惧风险 从人类学和社会学的角度去解释为什么对同性恋的研究必不可少", 1, 0.667, 0.818, "嘲 弄 要 公 众 陈 述 立 场 以 及 根 据 这 样 立 场", "风 险 从 角 度 去 解 释", 54
"虽然如此，我们仍不揣冒昧，不惧嘲弄，要对公众陈述社会学和人类学的立场，以及根据这样的立场，对同性恋的研究为什么必不可少。", "虽然如此，我们仍然不揣冒昧不具嘲弄向公众从人类学和社会觉得角度上已经从这样的立场上解释为什么同性恋的研究必不可少？", 2, 0.759, 0.745, "惧 要 对 陈 述 以 及 根 据 对", "具 向 从 觉 得 角 度 上 已 经 从 上 解 释", 54
"虽然如此，我们仍不揣冒昧，不惧嘲弄，要对公众陈述社会学和人类学的立场，以及根据这样的立场，对同性恋的研究为什么必不可少。", "虽然如此，我们仍然不揣冒昧不具嘲弄向公众从人类学和社会觉得角度上已经从这样的立场上解释为什么同性恋的研究必不可少？", 3, 0.759, 0.745, "惧 要 对 陈 述 以 及 根 据 对", "具 向 从 觉 得 角 度 上 已 经 从 上 解 释", 54
"也不知为什么，放映员越怕，就越要出这种事。 他说放电影还不如下大田。 这是特殊年代里的特殊事件，没有什么普遍意义。", "也不知为什么放映员越怕越容易出这种事，他说，放电影，还不如下田 这是特殊年代的特殊事情。", 1, 0.735, 0.923, "就 要 大 里 件 没 有 普 遍 意 义", "容 易 情", 49
"也不知为什么，放映员越怕，就越要出这种事。 他说放电影还不如下大田。 这是特殊年代里的特殊事件，没有什么普遍意义。", "也不知为什么放映员越怕 就越要出这种事情，他说放电影还不如下大田，这是特殊年代的特殊事情没有什么普遍意义", 2, 0.959, 0.959, "里 件", "情 情", 49
"在这种情况下，连老曹也绷不住，终于和我一起辞活不干了。 于是，这工程就像熟透的桃子一样，掉进了美国师傅的怀里。", "在这种情况下，就连老曹也顶不住 辞活跟我不干了，于是这工程就像熟透的桃子掉到美国师傅的怀里。", 1, 0.812, 0.929, "绷 终 和 一 起 一 样 进", "顶 跟 到", 48
"在这种情况下，连老曹也绷不住，终于和我一起辞活不干了。 于是，这工程就像熟透的桃子一样，掉进了美国师傅的怀里。", "在这种情况下，就连老曹也崩不住 终于一起辞活跟我不干了，于是这工程就像熟透的桃子一样，掉到了美国师傅的怀里。", 2, 0.958, 0.939, "绷 和 进", "崩 跟 到", 48
"我就给了他烟，借这个机会他也看了我的口袋，里面的确没有钱包。 分手之后跑了一百多米，我才想到这是打劫。", "我就给了他一根烟，他看了看我的烟袋里面确实没有钱包 分开后一百多米我才想起来就是打劫", 1, 0.778, 0.875, "借 这 个 机 会 也 口 手 之 跑 到 这", "根 实 开 起 来", 45
"这段经文最通俗了，《西游记》里全文抄录，我十六岁时一张嘴就能带出几句来：“揭啼！ 揭啼！ 波罗揭啼！”", "这段经文最耳熟了西游记里全片抄录，我16岁时，一张口就能带出几句来揭谛揭谛全都揭谛", 1, 0.744, 0.784, "通 俗 十 六 嘴 啼 啼 波 罗 啼", "耳 熟 片 口 谛 谛 都 谛", 39
"这段经文最通俗了，《西游记》里全文抄录，我十六岁时一张嘴就能带出几句来：“揭啼！ 揭啼！ 波罗揭啼！”", "这段经文最通俗了我 西游记里全篇抄录 我十六岁时张口就能念出几句  揭谛揭谛 波罗揭谛", 2, 0.821, 0.842, "一 嘴 带 来 啼 啼 啼", "篇 口 念 谛 谛 谛", 39
"不但如此，我见了垃圾堆就要多看上一眼。 我知道旧社会穷人吃糠咽菜，现在这世界上还有不少人吃不上饭、穿不上衣服。", "不仅如此，我见到垃圾堆就要多看一眼，我知道旧社会有人吃糠咽菜，现在还有很多人吃不起饭，穿不上衣服。", 1, 0.816, 0.909, "但 了 穷 这 世 界 少", "仅 到 很 起", 49
"这倒不是因为她的学位里有水分，而是因为时代在前进。 在报纸上看到哈佛大学英美文学系老师出个论文题：论《仲夏夜之梦》。", "这倒不是说他穴位里有水分，而是时代在前进 我在报纸上看到哈佛大学，因为文学系有个老师出论文题论仲夏夜之梦", 1, 0.882, 0.918, "她 的 英 美", "说 他 穴 我", 51
"就是放映员来了，什么招待也没有。 我也不知是为什么。 我讲这个故事，是想要说明，搞电影工作要艰苦奋斗。", "就算是放映员来了 什么招待也没有 我也不知道为什么 只能说搞电影需要艰苦奋斗", 1, 0.698, 0.857, "讲 这 个 故 事 想 明 工 作", "算 道 只 能 需", 43
"就是放映员来了，什么招待也没有。 我也不知是为什么。 我讲这个故事，是想要说明，搞电影工作要艰苦奋斗。", "就算是放映员来了 什么招待也没有 我也不知道为什么 我讲这个故事 是要说明 要艰苦奋斗", 2, 0.837, 0.947, "想 搞 电 影 工 作", "算 道", 43
